standard_brand,url,views,engagement
HEAD & SHOULDER,https://www.instagram.com/p/DKHQuyzzEnZ,41360,2184
HEAD & SHOULDER,https://www.tiktok.com/@boiyenpesek/video/7508290812879555848,10300,441
HEAD & SHOULDER,https://www.instagram.com/p/DKEbd9jTpHz,31587,1519
EMINA,https://www.instagram.com/p/DJ3f1OGT-4R,11544,176
EMINA,https://www.instagram.com/p/DLPQYNaSSOc,69398,3392
EMINA,https://www.instagram.com/p/DJdAjciy-FA,643646,1073
EMINA,https://www.tiktok.com/@fernandofenlee/video/7498213726449978629,1100000,32666
EMINA,https://www.instagram.com/p/DJ_sxciSaWA,11375,45
EMINA,https://www.tiktok.com/@clarissaciell/video/7504649637622516997,12900,899
EMINA,https://www.instagram.com/p/DH0Oku4SESv,24058,61
EMINA,https://www.instagram.com/p/DJoTPguJ-de,592965,273
EMINA,https://www.tiktok.com/@janeabys/video/7493848358239440133,420400,17606
EMINA,https://www.tiktok.com/@seohanna_/video/7535435690641739026,71100,7631
EMINA,https://www.tiktok.com/@dheaeaea/video/7501688938965372167,473200,2393
EMINA,https://www.tiktok.com/@irnaayu27/video/7498682019707211026,533700,6354
EMINA,https://www.instagram.com/p/DMaBzfhyctL,112116,6247
EMINA,https://www.instagram.com/p/DHYdIhivEUi,17766,225
EMINA,https://www.tiktok.com/@ojan___0/video/7508979265266847032,98000,16168
EMINA,https://www.instagram.com/p/DKJ0RwWyMte,134431,9672
EMINA,https://www.tiktok.com/@almollyyy/video/7506053050579029249,5700000,10572
EMINA,https://www.tiktok.com/@khansaassaa/video/7498220077033016582,144100,1387
EMINA,https://www.tiktok.com/@clarissaciell/video/7493848725463305478,512200,2409
EMINA,https://www.tiktok.com/@aintyoursb/video/7498701969578593542,281200,483
EMINA,https://www.instagram.com/p/DOIJsZMkz3x,2888,44
EMINA,https://www.tiktok.com/@bukancecil/video/7498351951650884870,46100,1709
EMINA,https://www.instagram.com/p/DJVtU_vTI_P,3245807,7827
EMINA,https://www.instagram.com/p/DHsrCdQPtVq,17240,85
EMINA,https://www.instagram.com/p/DGStQoYz6pa,17705,108
EMINA,https://www.instagram.com/p/DJnxrEcJoUV,522312,884
EMINA,https://www.tiktok.com/@valeriepola/video/7493461042777885970,293100,765
EMINA,https://www.youtube.com/watch?v=whL7bK34mR8,1025,47
EMINA,https://www.instagram.com/p/DHnkb7hPhAa,17052,233
EMINA,https://www.tiktok.com/@bukancecil/video/7506489510910299448,32200,1616
EMINA,https://www.tiktok.com/@alisyaays/video/7498556077072534792,243500,7855
EMINA,https://www.instagram.com/p/DLzVIJWymgD,126474,556
EMINA,https://www.instagram.com/p/DL0-SAtSnWO,11259855,143
EMINA,https://www.tiktok.com/@asabelavvv/video/7526418263677390086,6174,77
EMINA,https://www.tiktok.com/@christinaimmanuel_/video/7548043830222654728,409900,17444
EMINA,https://www.tiktok.com/@vonvon_7/video/7524667091086036280,180200,744
EMINA,https://www.instagram.com/p/DNmAhXwTiYi,2698,43
EMINA,https://www.instagram.com/p/DLys1UgTaDP,13274,425
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7563659549643787528,3443,224
EMINA,https://www.tiktok.com/@ashafiranatasya/video/7529370807282191672,14000,665
EMINA,https://www.instagram.com/p/DOfVgibEnqP,7844965,6611
EMINA,https://www.tiktok.com/@anggunhrmsr/video/7553517808475213077,10900,689
EMINA,https://www.tiktok.com/@skincarebyw/video/7543565557509983493,48100,3090
EMINA,https://www.instagram.com/p/DLxDJX9p2x9,3208512,1762
EMINA,https://www.tiktok.com/@namanya.katerine/video/7553225915405307143,22800,2068
EMINA,https://www.tiktok.com/@loremipsumdls/video/7553193930704047371,97100,18203
EMINA,https://www.instagram.com/p/DFxrPLNyp5i,28169,333
EMINA,https://www.tiktok.com/@mtyynn/video/7486016132764159238,1769,113
EMINA,https://www.tiktok.com/@richelleweisz/video/7472218169021582598,104000,1559
EMINA,https://www.instagram.com/p/DM2lYnRSjmS,5318,203
EMINA,https://www.tiktok.com/@elisabethkho/video/7460836650344549639,350100,13687
EMINA,https://www.tiktok.com/@imzahranur/video/7519474111282793733,446400,12665
EMINA,https://www.tiktok.com/@m0odwawa/video/7501942583283698950,76400,691
EMINA,https://www.tiktok.com/@tellaaatella/video/7475305903277755654,306500,518
EMINA,https://www.tiktok.com/@bukancecil/video/7473081070942965047,1700000,7775
EMINA,https://www.tiktok.com/@dr_danar/video/7533965388342725893,12400,221
EMINA,https://www.tiktok.com/@moisellxe/video/7507619549898984760,67700,2830
EMINA,https://www.tiktok.com/@ikhsanqthii/video/7480929992390593797,731900,28065
EMINA,https://www.tiktok.com/@tessa_aan/video/7533199679543168274,613100,27762
EMINA,https://www.tiktok.com/@lutfi_afansyah/video/7540565739946724615,103000,5747
EMINA,https://www.tiktok.com/@adistyhecaa/video/7473803196952005896,2700000,2046
EMINA,https://www.tiktok.com/@maritzazhrsy/video/7475648986578275602,47400,1272
EMINA,https://www.tiktok.com/@auliaaaa3/video/7470389875737414920,17000,825
EMINA,https://www.tiktok.com/@glazynadyy/video/7552845707422600459,96,372
EMINA,https://www.tiktok.com/@bukancecil/video/7473706636952046853,67000,4452
EMINA,https://www.tiktok.com/@acessz/video/7463358375934348549,80200,3002
EMINA,https://www.tiktok.com/@starbuckssrn/video/7491539923091213623,110300,3779
EMINA,https://www.tiktok.com/@novalexannn07/video/7483404445393423671,131400,931
EMINA,https://www.tiktok.com/@lesyaltssss/video/7503178490959842568,8435,116
EMINA,https://www.instagram.com/p/DGDlTEwy9ol,8207,31
EMINA,https://www.tiktok.com/@nayraliaapwty_/video/7470785419156737285,296900,1479
EMINA,https://www.tiktok.com/@sejauhhh/video/7483831763005902085,2659,49
EMINA,https://www.tiktok.com/@nayraliaapwty_/video/7470810081966279991,248300,1600
EMINA,https://www.tiktok.com/@inicipu/video/7529878475679747336,824000,22670
EMINA,https://www.tiktok.com/@skincarebyw/video/7542515381919862021,53000,5025
EMINA,https://www.tiktok.com/@valeriepola/video/7496460999759760658,8481,345
EMINA,https://www.instagram.com/p/DIyTF3HS0b6,38680,547
EMINA,https://www.tiktok.com/@elisabethkho/video/7478261197545032978,1000000,40299
EMINA,https://www.tiktok.com/@yundacintani/video/7485649561457790214,26600,121
EMINA,https://www.tiktok.com/@janeabys/video/7498339571176901943,41800,7436
EMINA,https://www.tiktok.com/@moreyeaul_/video/7501542904540744965,112300,1423
EMINA,https://www.tiktok.com/@alisyaays/video/7483881632651332871,17000,250
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7474819797167934725,807800,35451
EMINA,https://www.tiktok.com/@fierlia15/video/7459383320913153286,26600,1171
